,0,1,2,3,4,5
213,,,Eric Carter,(3:47.6),24.01.66,USA
214,,,Steve Shisler,(3:42.8),,USA
215,44.0,14:59.06,Auburn University,3,Philadelp,26.04.1986
216,,,Matt Parker,(3:44.4),,USA
217,,,Bob Sheehan,(3:48.9),,USA
218,,,Brian Abshire,(3:42.8),14.11.63,USA
219,,,Brian Jaeger,(3:42.8),01.05.64,USA
220,44.0,14:59.06,TV Wattenscheid 01,1,Rhede,09.07.1995
221,,,Daniel Elferich,,30.10.73,GER
222,,,Marc Ostendarp,,24.01.73,GER
223,,,Torsten Kallweit,,25.05.68,GER
224,,,Rüdiger Stenzel,,16.04.68,GER
225,46.0,14:59.1,Pro Patria AZ Verde Milano,1,Bergamo,18.09.1979
226,,,Carlo Grippo,(3:45.7),08.01.55,ITA
227,,,Gaetano Erba,(3:44.7),02.01.60,ITA
228,,,Fulvio Costa,(3:45.7),09.11.59,ITA
229,,,Vittorio Fontanella,(3:43.0),17.03.53,ITA
230,47.0,14:59.35,Villanova University,1,Philadelp,28.04.1979
231,,,Dean Childs,(3:48.6),01.01.57,CAN
232,,,Arthur Burns,(3:45.8),19.07.54,USA
233,,,Amos Korir,(3:44.3),06.06.56,KEN
234,,,Sydney Maree,(34:0.7),09.09.56,RSA
235,48.0,14:59.5A,Kenya,1r2,Nairobi,22.03.2014
236,,,Collins Cheboi,,25.09.87,KEN
237,,,Caleb Ndiku,,09.10.92,KEN
238,,,Zablon Chumba,,20.12.91,KEN
239,,,Bernard Kipkorir Koros,,07.05.94,KEN
240,49.0,14:59.57,Indiana University,3,Philadelp,30.04.1988
241,,,Charles Marsala,(3:42.2),03.01.65,USA
242,,,Keith Allen,(3:49.4),18.11.66,USA
243,,,Jim White,(3:46.0),07.04.67,USA
244,,,Mark Deady,(3:42.0),02.10.67,USA
245,50.0,14:59.8,Ireland,2,Dublin,28.08.1987
246,,,Eamonn Coghlan,(3:49.7),24.11.52,IRL
247,,,Gerry O'Reilly,(3:44.9),01.07.64,IRL
248,,,Marcus O'Sullivan,(3:42.0),22.12.61,IRL
249,,,Ray Flynn,(3:43.3),22.01.57,IRL
250,51.0,15:00.23,Villanova University,1,Philadelp,24.04.1993
251,,,Ken Nason,(3:46.7),29.03.72,IRL
252,,,Mike Going,(3:46.0),,USA
253,,,Brad Sumner,(3:43.8),04.08.70,USA
254,,,Louie Quintana,(3:43.7),06.04.73,USA
255,52.0,15:00.69,España,5,Nassau,25.05.2014
256,,,Adel Mechaal,(3:44.4),05.12.90,ESP
257,,,Álvaro Rodriguez,(3:44.8),25.05.87,ESP
258,,,Carlos Alonso,(3:47.2),15.09.89,ESP
259,,,Alberto Imedio,(3:44.3),24.05.91,ESP
260,53.0,15:01.12,"Vfl Wolfsburg, FRG",1,Berlin,21.07.1985
261,,,Jens Becker,,07.10.61,FRG
262,,,Wolfgang Schreiber,,11.06.63,FRG
263,,,Eckhardt Rüter,,24.10.63,GER
264,,,Uwe Becker,,10.12.55,FRG
265,54.0,15:01.35,Villanova University,1,Philadelp,26.04.1980
266,,,Carey Pinkowski,(3:49.1),30.06.58,USA
267,,,Dean Childs,(3:46.5),01.01.57,CAN
268,,,Amos Korir,(3:46.4),06.06.56,KEN
269,,,Sydney Maree,(3:39.4),09.09.56,RSA
270,55.0,15:01.5,"LG Bayer Leverkusen, FRG",1,Flensburg,01.08.1981
271,,,Peter Belger,,17.07.55,FRG
272,,,Paul-Heinz Wellmann,,31.03.52,FRG
273,,,Karl Fleschen,,28.06.55,FRG
274,,,Harald Hudak,,28.01.57,FRG
275,56.0,15:01.62,University of Arkansas,1,Philadelp,25.04.1992
276,,,Gilbert Contreras,(3:45.7),23.09.69,USA
277,,,John Schiefer,(3:43.4),20.04.71,USA
278,,,Niall Bruton,(3:46.9),07.10.71,IRL
279,,,Graham Hood,(3:45.6),02.04.72,CAN
280,57.0,15:01.96,Villanova University,1,Philadelp,25.04.1981
281,,,Ken Lucks,(3:49.7),07.01.62,CAN
282,,,Marcus O'Sullivan,(3:48.3),22.12.61,IRL
283,,,John Hunter,(3:43.8),15.04.56,IRL
284,,,Sydney Maree,(3:40.2),09.09.56,RSA
285,58.0,15:01.97,University of Wisconsin,2,Philadelp,24.04.1993
286,,,Bryan Dameworth,(3:52.9),71,USA
287,,,Donovan Bergstrom,(3:41.4),03.03.70,USA
288,,,Jason Casiano,(3:43.4),17.03.73,USA
289,,,Jerry Schumacher,(3:44.3),06.08.70,USA
290,59.0,15:02.03,Reebok Aggies,3,Philadelp,29.04.2000
291,,,Jamey Harris,(3:46.1),14.06.71,USA
292,,,Christian Hesch,(3:45.8),06.01.79,USA
293,,,Kipp Ortenburger,(3:45.6),07.02.73,USA
294,,,Jim Sorensen,(3:44.5),10.05.67,USA
295,60.0,15:02.08,University of Arkansas,1,Philadelp,26.04.1997
296,,,Michael Power,(3:45.4),09.05.76,AUS
297,,,Ryan Wilson,(3:42.1),14.08.74,USA
298,,,Philip Price,(3:50.1),21.08.74,USA
299,,,Seneca Lassiter,(3:44.5),12.03.77,USA
300,61.0,15:02.09,University of Arkansas,2,Philadelp,25.04.1981
301,,,Tom Moloney,(3:46.9),11.03.60,IRL
302,,,Gary Taylor,(3:44.3),01.06.63,GBR
303,,,Randy Stephens,(3:45.7),22.06.60,USA
304,,,Frank O'Mara,(3:45.2),17.07.60,IRL
305,62.0,15:02.6,Poland,1,Athínai,05.05.1976
306,,,Henryk Szordykowski,,03.06.44,POL
307,,,Jozef Ziubrak,,20.12.52,POL
308,,,Michal Skowronek,,27.09.49,POL
309,,,Henryk Wasilewski,,19.12.53,POL
310,63.0,15:02.63,Providence College,3,Philadelp,24.04.1993
311,,,Nick Jackson,(3:49.0),,USA
312,,,Mark Carroll,(3:43.9),15.01.72,IRL
313,,,Mark Burdis,(3:43.9),13.01.71,IRL
314,,,Andy Keith,(3:40.0),25.12.71,GBR
315,64.0,15:02.66,Kenya - C,3,Nairobi,26.04.2014
316,,,Robert Kaptingei,,08.12.86,KEN
317,,,Bernard Kipkorir Koros,,07.05.94,KEN
318,,,Zablon Chumba,,20.12.91,KEN
319,,,Abednego Chesebe,,20.06.82,KEN
320,65.0,15:02.70,Georgetown University,2,Philadelp,24.04.1990
321,,,Michael McCracken,(3:47.2),,USA
322,,,Steve Holman,(3:41.1),02.03.70,USA
323,,,Peter Sherry,(3:45.2),22.08.68,USA
324,,,John Trautmann,(3:49.2),29.06.68,USA
325,66.0,15:02.8,Villanova University,1,Philadelp,24.04.1982
326,,,Mike England,(3:44.7),29.02.60,USA
327,,,Marcus O'Sullivan,(3:46.1),22.12.61,IRL
328,,,Ross Donoghue,(3:50.1),19.07.59,USA
329,,,John Hunter,(3:41.9),15.04.56,IRL
330,67.0,15:02.91,Villanova University,1,Knoxville,10.04.1981
331,,,Ken Lucks,(3:48.8),07.01.62,CAN
332,,,Marcus O'Sullivan,(3:48.3),22.12.61,IRL
333,,,John Hunter,(3:45.1),15.04.56,IRL
334,,,Sydney Maree,(3:40.8),09.09.56,RSA
335,68.0,15:03.0,Villanova University,1,Philadelp,24.04.1976
336,,,Gary Trojanowski,(3:48.0),,USA
337,,,George MacKay,(3:45.8),,USA
338,,,Phil Kane,(3:46.7),05.03.55,USA
339,,,Eamonn Coghlan,(3:42.5),24.11.52,IRL
340,68.0,15:03.0,United States,1,Bourges,19.06.1977
341,,,Mike Slack,(3:45.4),18.08.51,USA
342,,,Phil Kane,(3:41.5),05.03.55,USA
343,,,Steve Lacy,(3:49.1),17.01.56,USA
344,,,Mike Manke,(3:46.0),15.03.52,USA
345,70.0,15:03.2,George Mason University,2,Philadelp,27.04.1985
346,,,Ahmed Mohamed Ismail,(3:48.4),06.06.64,SOM
347,,,Kevin Black,(3:46.6),,USA
348,,,Ibrahim Okash,(3:46.3),18.09.64,SOM
349,,,Abdi Bile,(3:41.9),28.12.62,SOM
350,70.0,15:03.2A,Kenya - C,3r1,Nairobi,22.03.2014
351,,,Vickson Polonet,,02.07.85,KEN
352,,,Bernard Nkaoienet,,,KEN
353,,,Franklin Kiplagat,,94,KEN
354,,,Samson Mwaura,,,KEN
355,72.0,15:03.73,Kenya - D,4,Nairobi,26.04.2014
356,,,Bernard Kaptingei,,08.12.86,KEN
357,,,Geoffrey Rono,,21.04.87,KEN
358,,,Johnstone Simotwo,,89,KEN
359,,,Elijah Kipchirchir Kiptoo,,09.06.86,KEN
360,73.0,15:04.07,Georgetown University,2,Philadelp,26.04.1980
361,,,Phillip Reilly,(3:49.7),,USA
362,,,Kevin Byrne,(3:50.3),60,IRL
