,0,1,2,3,4,5
325,65.0,1:20.72,Texas A&M University,2,Philadelphia,30.04.2011
326,,,Tran Howell,,27.03.88,USA
327,,,Gerald Phiri,,06.10.88,ZAM
328,,,Tabarie Henry,,01.12.87,ISV
329,,,Demetrius Pinder,,13.02.89,BAH
330,67.0,1:20.74,Nike International,1rA,Philadelphia,26.04.1997
331,,,Marlin Cannon,,09.12.70,USA
332,,,Alvin Harrison,,20.01.74,USA
333,,,Garth Robinson,,11.10.70,JAM
334,,,Jason Rouser,,22.03.70,USA
335,67.0,1:20.74,Altis,1,Torrance,15.04.2017
336,,,Chijindu Ujah,,05.03.94,GBR
337,,,Shavez Hart,,09.06.92,BAH
338,,,Andre De Grasse,,10.11.94,CAN
339,,,Ameer Webb,,19.03.91,USA
340,67.0,1:20.74,University of Arkansas,1,Baton Rouge,29.04.2017
341,,,Roy Ejiakuekwu,,02.02.95,GBR
342,,,Obi Igbokwe,,28.01.97,USA
343,,,Joshua Washington,,28.08.95,USA
344,,,Kenzo Cotton,,13.05.96,USA
345,70.0,1:20.75,Texas A&M University,1,Philadelphia,27.04.2013
346,,,Michael Bryan,,09.06.91,USA
347,,,Prezel Hardy,,01.06.92,USA
348,,,Aldrich Bailey,,06.02.94,USA
349,,,Ameer Webb,,19.03.91,USA
350,70.0,1:20.75,Pure Athletics - A,2r1,Gainesville,30.03.2019
351,,,Noah Lyles,,18.07.97,USA
352,,,Kyle Greaux,,26.04.88,TTO
353,,,Alonso Edward,,08.12.89,PAN
354,,,Nethaneel Mitchell-Blake,,02.04.94,GBR
355,72.0,1:20.78,Texas A&M University,1,Austin,30.03.2013
356,,,Michael Bryan,,09.06.91,USA
357,,,Prezel Hardy,,01.06.92,USA
358,,,Aldrich Bailey,,06.02.94,USA
359,,,Ameer Webb,,19.03.91,USA
360,72.0,1:20.78,Texas A&M University,1,Austin,29.03.2014
361,,,Michael Bryan,,09.06.91,USA
362,,,Prezel Hardy,,01.06.92,USA
363,,,Shavez Hart,,09.06.92,BAH
364,,,Carlyle Roudette,,06.09.91,TTO
365,72.0,1:20.78,United States,1h2,Nassau,03.05.2015
366,,,Joseph Morris,,04.10.89,USA
367,,,Isiah Young,,05.01.90,USA
368,,,Tristan Walker,,24.10.87,USA
369,,,Wallace Spearmon,,24.12.84,USA
370,75.0,1:20.79,Philadelphia Pioneers,2,Walnut,26.04.1981
371,,,James Mallard,,29.11.57,USA
372,,,Tony Darden,,02.09.57,USA
373,,,Fred Taylor,,05.11.57,USA
374,,,Stanley Floyd,,23.06.61,USA
375,75.0,1:20.79,Central Arizona Community,1,Walnut,23.04.1988
376,,,Richard Bucknor,,06.11.66,JAM
377,,,Garfield Campbell,,01.11.67,JAM
378,,,Patrick O'Connor,,17.09.66,JAM
379,,,Howard Davis,,27.04.67,JAM
380,75.0,1:20.79,University of Texas,1r1,Austin,05.04.2003
381,,,Tré Gardner,,25.10.79,USA
382,,,Aaron Collins,,18.02.84,USA
383,,,Ashton Collins,,18.02.84,USA
384,,,Brendan Christian,,11.12.83,ANT
385,75.0,1:20.79,Star Athletics,2r1,Gainesville,02.04.2016
386,,,,,,USA
387,,,,,,USA
388,,,,,,USA
389,,,,,,USA
390,75.0,1:20.79,Pure Athletics,1r1,Gainesville,31.03.2018
391,,,Alonso Edward,,08.12.89,PAN
392,,,Noah Lyles,,18.07.97,USA
393,,,Josephus Lyles,,22.07.98,USA
394,,,Jak Ali Harvey,,04.05.89,TUR
395,80.0,1:20.80,Commonwealth,1,Tempe,03.04.1993
396,,,Marcus Adam,,28.02.68,GBR
397,,,Anthony Jarrett,,13.08.68,GBR
398,,,John Regis,,13.10.66,GBR
399,,,Raymond Stewart,,18.03.65,JAM
400,80.0,1:20.80,Star Athletics,2rA,Gainesville,01.04.2017
401,,,Justin Walker,,30.11.90,USA
402,,,Isiah Young,,05.01.90,USA
403,,,Justin Gatlin,,10.02.82,USA
404,,,Trentavis Friday,,05.06.95,USA
405,80.0,1:20.80,University of Texas,1r2,Austin,26.03.2022
406,,,Daniel Garland,,01.01.01,USA
407,,,Marcellus Moore,,30.06.02,USA
408,,,Micaiah Harris,,23.05.99,USA
409,,,Willington Wright,,16.09.00,USA
410,83.0,1:20.81,Nike Elite,2rA,Philadelphia,24.04.1999
411,,,Travis Grant,,31.08.72,USA
412,,,David Oaks,,12.05.72,USA
413,,,Danny McCray,,11.03.74,USA
414,,,Gentry Bradley,,19.01.74,USA
415,83.0,1:20.81,Sprint Capitol TC,1,Raleigh,01.04.2000
416,,,,,,USA
417,,,,,,USA
418,,,,,,USA
419,,,,,,USA
420,85.0,1:20.82,Louisiana State University,1r2,Austin,01.04.2017
421,,,Michael Cherry,,23.03.95,USA
422,,,Tinashe Samuel Mutanga,,27.01.93,ZIM
423,,,Jaron Flournoy,,24.11.96,USA
424,,,Nethaneel Mitchell-Blake,,02.04.94,GBR
425,86.0,1:20.83,University of Georgia,2,Athens,24.03.1984
426,,,Neal Jessie,,23.02.64,USA
427,,,Sam Palmer,,29.07.63,USA
428,,,Stanley Blalock,,18.03.64,USA
429,,,Lester Benjamin,,14.09.63,ANT
430,86.0,1:20.83,Shandong Province,1,Xi'an,23.09.2021
431,,,Wang Shengjie,,31.03.00,CHN
432,,,Jie Yuqiang,,22.02.97,CHN
433,,,Zhang Yaorong,,01.03.93,CHN
434,,,Qiao Zhen,,16.02.01,CHN
435,86.0,1:20.83,Guangdong Province,2,Xi'an,23.09.2021
436,,,Su Bingtian,,29.08.89,CHN
437,,,Zhang Ruixuan,,16.01.96,CHN
438,,,Mo Youxue,,10.02.96,CHN
439,,,Yan Haibin,,08.01.03,CHN
440,89.0,1:20.84,Philadelphia Pioneers,1,Modesto,17.05.1980
441,,,Bill Collins,,20.11.50,USA
442,,,Herman Frazier,,29.10.54,USA
443,,,Fred Taylor,,05.11.57,USA
444,,,Tony Darden,,02.09.57,USA
445,89.0,1:20.84,Texas Christian University,1,Des Moines,29.04.1983
446,,,Phillip Epps,,11.11.59,USA
447,,,David Walker,,30.10.59,USA
448,,,James Richard,,04.10.59,USA
449,,,James Maness,,10.05.63,USA
450,91.0,1:20.85,International Team,1,Portsmouth,11.06.1989
451,,,Dennis Mitchell,,20.02.66,USA
452,,,Calvin Smith,,08.01.61,USA
453,,,Olapade Adeniken,,19.08.69,NGR
454,,,Henry Thomas,,10.07.67,USA
455,91.0,1:20.85,Louisiana State University,1,Tempe,01.04.1995
456,,,Eddie Kennison,,20.01.73,USA
457,,,Milton Mallard,,24.11.73,USA
458,,,Byron Logan,,19.07.74,JAM
459,,,Rohsaan Griffin,,21.02.74,USA
460,93.0,1:20.87,Puma Track Club,1,Walnut,27.04.1986
461,,,James Butler,,21.06.60,USA
462,,,Willie Smith,,28.02.56,USA
463,,,Laron Brown,,10.11.63,USA
464,,,Walter McCoy,,15.11.58,USA
465,93.0,1:20.87,Track Wired Elite,1r1,Austin,01.04.2017
466,,,Jarrion Lawson,,06.05.94,USA
467,,,Marqueze Washington,,29.09.93,USA
468,,,Wallace Spearmon,,24.12.84,USA
469,,,Omar McLeod,,25.04.94,JAM
470,95.0,1:20.88,Pure Athletics - B,3r1,Gainesville,30.03.2019
471,,,Jak Ali Harvey,,04.05.89,TUR
472,,,Josephus Lyles,,22.07.98,USA
473,,,Tony McQuay,,16.04.90,USA
474,,,Kendal Williams,,23.09.95,USA
475,96.0,1:20.9,University of Arkansas,1,Philadelphia,27.04.1985
476,,,Fred Cleary,,13.10.62,USA
477,,,Roddie Haley,,06.12.65,USA
478,,,Mike Conley,,05.10.62,USA
479,,,Wallace Spearmon,,03.09.62,USA
480,96.0,1:20.90,University of Tennessee,1,Knoxville,14.04.2001
481,,,Sean Lambert,,16.08.82,GRN
482,,,Justin Gatlin,,10.02.82,USA
483,,,Russell Frye,,25.03.79,USA
484,,,Leonard Scott,,19.01.80,USA
485,98.0,1:20.92,Star Athletic,1r1,Austin,26.03.2022
486,,,Mouhamadou Fall,,25.02.92,FRA
487,,,Jerome Blake,,18.08.95,CAN
488,,,Aaron Brown,,27.05.92,CAN
489,,,Emmanuel Matadi,,15.04.91,LBR
490,99.0,1:20.93,University of Arkansas,1,Austin,05.04.1985
491,,,Fred Cleary,,13.10.62,USA
492,,,Roddie Haley,,06.12.65,USA
493,,,Mike Conley,,05.10.62,USA
494,,,Wallace Spearmon,,03.09.62,USA
495,99.0,1:20.93,Nike International,1rA,Philadelphia,27.04.1996
496,,,Chris Nelloms,,14.08.71,USA
497,,,Alvin Harrison,,20.01.74,USA
498,,,Wendell Gaskin,,07.01.73,USA
499,,,Maurice Greene,,23.07.74,USA
500,10.0,1:20.94,University of Florida,1rA,Philadelphia,30.04.2005
501,,,Reggie Witherspoon,,31.05.85,USA
502,,,Michael Morrison,,04.03.84,USA
503,,,Kyle Farmer,,15.04.83,USA
504,,,Kirk Clayton,,04.02.47,USA
505,10.0,1:20.94,United States,1rA,Philadelphia,30.04.2016
506,,,Isiah Young,,05.01.90,USA
507,,,Justin Gatlin,,10.02.82,USA
508,,,Wallace Spearmon,,24.12.84,USA
509,,,Mike Rodgers,,24.04.85,USA
510,10.0,1:20.94,University of Houston,1,Austin,30.03.2019
511,,,Nicholas Alexander,,17.10.98,USA
512,,,Mario Burke,,18.03.97,BAR
513,,,Khamari Montgomery,,16.08.97,USA
514,,,Obi Igbokwe,,28.01.97,USA
515,10.0,1:20.95,Philadelphia Pioneers,3,Tempe,27.05.1978
516,,,Steve Riddick,(20.3),18.09.51,USA
517,,,Herman Frazier,(19.5),29.10.54,USA
518,,,Fred Taylor,(19.8),05.11.57,USA
519,,,Bill Collins,(21.1),20.11.50,USA
520,10.0,1:20.97,Tobias Striders,1,Modesto,20.05.1978
521,,,Guy Abrahams,,07.03.53,PAN
522,,,Michael Simmons,,21.12.56,USA
523,,,Donald Quarrie,,25.02.51,JAM
524,,,Adrian Rodgers,,19.02.52,USA
525,10.0,1:20.97,Philadelphia Pioneers,2,Tempe,04.04.1981
526,,,Bill Collins,,20.11.50,USA
527,,,Herman Frazier,,29.10.54,USA
528,,,Fred Taylor,,05.11.57,USA
529,,,Tony Darden,,02.09.57,USA
530,10.0,1:20.97,University of Technology,1rB,Philadelphia,25.04.2015
531,,,Andrew Fisher,,15.12.91,JAM
532,,,Kemarley Brown,,20.07.92,JAM
533,,,Keavan Smith,,12.05.91,JAM
534,,,Julian Forte,,07.01.93,JAM
535,10.0,1:20.97,Jamaica,1,Nassau,03.05.2015
536,,,Nickel Ashmeade,,07.04.90,JAM
537,,,Rasheed Dwyer,,29.01.89,JAM
538,,,Jason Livermore,,25.04.88,JAM
539,,,Warren Weir,,31.10.89,JAM
540,10.0,1:20.97,University of Texas,2r2,Austin,01.04.2023
541,,,Daniel Garland,,01.01.01,USA
542,,,Nolton Shelvin,,08.02.01,USA
543,,,Caleb Hulbin,,,USA
544,,,Marcellus Moore,,30.06.02,USA
545,11.0,1:20.98,United States,1,Gdansk,14.07.2001
