,0,1,2,3,4,5,6
139,,,Ajee' Wilson,,,08.05.94,USA
140,29.0,8:08.19,Russia,,3,Nassau,25.05.2014
141,,,Irina Maracheva,,(2:02.6),29.09.84,RUS
142,,,Yelena Kobeleva,,(2:01.9),12.06.88,RUS
143,,,Tatyana Myazina,,(2:02.3),18.03.88,RUS
144,,,Svetlana Rogozina,,(2:01.4),26.12.92,RUS
145,30.0,8:08.39,Pacific Northwest,,2,Eugene,26.07.2014
146,,,Lauren Wallace,,,19.12.88,USA
147,,,Erica Moore,,,25.03.88,USA
148,,,Pheobe Wright,,,30.08.88,USA
149,,,Kate Grace,,,24.10.88,USA
150,31.0,8:08.6,Bulgaria,,1,Sofia,12.08.1973
151,,,Svetla Zlateva-Koleva,,(1:58.8),25.02.52,BUL
152,,,Lilyana Tomova,,(2:01.7),09.08.46,BUL
153,,,Totka Petrova,,(2:03.5),17.12.56,BUL
154,,,Stefka Yordanova,,(2:04.6),19.08.47,BUL
155,32.0,8:09.3,"Lithuania, URS",,5,Moskva,24.07.1979
156,,,,,,,LTU
157,,,,,,,LTU
158,,,,,,,LTU
159,,,,,,,LTU
160,33.0,8:10.99,United States - Blue,,3rA,Philadelphia,27.04.2013
161,,,Pheobe Wright,,(2:01.8),30.08.88,USA
162,,,Geena Gall,,(2:02.7),18.01.87,USA
163,,,Alice Schmidt,,(2:02.8),10.03.81,USA
164,,,LaTavia Thomas,,(2:03.7),17.12.88,USA
165,34.0,8:11.36,Poland,,2,Nassau,03.05.2015
166,,,Syntia Ellward,,(2:02.44),03.03.93,POL
167,,,Katarzyna Broniatowska,,(2:03.64),22.02.90,POL
168,,,Angelika Cichocka,,(2:00.90),15.03.88,POL
169,,,Sofia Ennaoui,,(2:04.38),30.08.95,POL
170,35.0,8:12.5,Moskva,,3,Tbilisi,16.09.1978
171,,,,,,,URS
172,,,,,,,URS
173,,,,,,,URS
174,,,,,,,URS
175,36.0,8:13.26,Australia,,4,Nassau,25.05.2014
176,,,Brittany McGowan,,(2:03.6),24.04.91,AUS
177,,,Zoe Buckman,,(2:01.6),21.12.88,AUS
178,,,Selma Kajan,,(2:02.2),30.07.91,AUS
179,,,Melissa Duncan,,(2:05.9),30.01.90,AUS
180,37.0,8:13.46,Great Britain & N.I.,,4rA,Philadelphia,27.04.2013
181,,,Marilyn Okoro,,(2:01.8),23.09.84,GBR
182,,,Jemma Simpson,,(2:03.9),10.02.84,GBR
183,,,Lynsey Sharp,,(2:02.8),11.07.90,GBR
184,,,Tara Bird,,(2:05.0),22.07.87,GBR
185,38.0,8:13.97,Australia,,3,Nassau,03.05.2015
186,,,Abbey de la Motte,,(2:02.43),24.02.94,AUS
187,,,Kelly Hetherington,,(2:03.49),10.03.89,AUS
188,,,Selma Kajan,,(2:05.68),30.07.91,AUS
189,,,Brittany McGowan,,(2:02.37),24.04.91,AUS
190,39.0,8:14.76,New Jersey New York Track,lub,3,Eugene,26.07.2014
191,,,Cydney Ross,,,16.03.90,USA
192,,,Erin Donohue,,,08.05.83,USA
193,,,Stephanie Charnigo,,,25.07.88,USA
194,,,LaTavia Thomas,,,17.12.88,USA
195,40.0,8:14.85,Canada,,5rA,Philadelphia,27.04.2013
196,,,Melissa Bishop-Nriagu,,(2:02.2),05.08.88,CAN
197,,,Karine Belleau-Béliveau,,(2:03.2),29.12.83,CAN
198,,,Diane Cummins,,(2:02.9),19.01.74,CAN
199,,,Lemlem Bereket,,(2:06.5),10.12.87,CAN
200,41.0,8:15.7,Russia,,1,Sheffield,05.06.1992
201,,,Irina Biryukova,,,06.12.64,RUS
202,,,Olga Burkanova,,,29.09.69,RUS
203,,,Galina Reznikova,,,19.04.61,RUS
204,,,Yelena Didilenko,,,20.04.61,RUS
205,42.0,8:15.84,Cuba,,4,Nassau,03.05.2015
