,0,1,2,3,4,5
275,56.0,17:32.30,Villanova University,2,Philadelphia,25.04.2003
276,,,Carre Joyce,(4:29.7),28.09.81,USA
277,,,Ioana Parusheva,(4:18.9),23.05.82,BUL
278,,,Marina Muncán,(4:20.0),06.11.82,SRB
279,,,Rebecca Mitchell,(4:23.7),11.06.82,USA
280,57.0,17:32.53,Sankt Peterburg,2,Adler,06.09.2014
281,,,Oksana Zbrozhek,,12.01.78,RUS
282,,,Ulyana Avvakumenkova,,21.06.94,RUS
283,,,Anastasiya Kalina,,16.02.94,RUS
284,,,Yuliya Chizhenko,,30.08.79,RUS
285,58.0,17:32.97,Georgetown University,6,Philadelphia,30.04.2022
286,,,Chloe Gonzalez,,02.09.02,USA
287,,,Sami Corman,,25.08.00,USA
288,,,Maggie Donahue,,,USA
289,,,Melissa Riggins,,29.10.02,USA
290,59.0,17:33.25,University of New Mexico,4,Philadelphia,25.04.2014
291,,,Charlotte Arter,(4:22.1),18.06.91,GBR
292,,,Chloe Anderson,(4:22.2),18.08.89,GBR
293,,,Calli Thackery,(4:24.8),09.01.93,GBR
294,,,Samantha Silva,(4:26.2),26.01.94,USA
295,60.0,17:33.64,Moskovskaya Region,1,Sochi,17.09.2008
296,,,Svetlana Simakova,,12.06.87,RUS
297,,,Vera Leonova,,26.01.86,RUS
298,,,Kseniya Agafonova,,25.06.83,RUS
299,,,Yelena Orlova,,30.05.80,RUS
300,61.0,17:33.67,University of North Carolina,1,Philadelphia,26.04.2002
301,,,Alice Schmidt,,10.03.81,USA
302,,,Erin Donohue,,08.05.83,USA
303,,,Carol Henry,,20.06.82,CAN
304,,,Shalane Flanagan,,07.08.81,CAN
305,62.0,17:33.79,Villanova University,1,Philadelphia,28.04.1995
306,,,Tosha Woodward,(4:22.7),28.04.71,USA
307,,,Krestina Sullivan,(4:25.1),11.03.74,CAN
308,,,Jennifer Rhines,(4:20.0),01.07.74,USA
309,,,Becky Spies,(4:26.0),23.05.73,USA
310,63.0,17:34.06,Providence College,2,Philadelphia,23.04.2004
311,,,Lisa Capello,(4:29.8),07.05.82,USA
312,,,Kimberley Smith,(4:15.3),19.11.81,NZL
